id_data;data;dia_semana;dia;mes;ano;trimeste
1;2013-01-01;3;1;1;2013;1
2;2013-01-02;4;2;1;2013;1
3;2013-01-03;5;3;1;2013;1
4;2013-01-04;6;4;1;2013;1
5;2013-01-05;7;5;1;2013;1
6;2013-01-06;1;6;1;2013;1
7;2013-01-07;2;7;1;2013;1
8;2013-01-08;3;8;1;2013;1
9;2013-01-09;4;9;1;2013;1
10;2013-01-10;5;10;1;2013;1
11;2013-01-11;6;11;1;2013;1
12;2013-01-12;7;12;1;2013;1
13;2013-01-13;1;13;1;2013;1
14;2013-01-14;2;14;1;2013;1
15;2013-01-15;3;15;1;2013;1
16;2013-01-16;4;16;1;2013;1
17;2013-01-17;5;17;1;2013;1
18;2013-01-18;6;18;1;2013;1
19;2013-01-19;7;19;1;2013;1
20;2013-01-20;1;20;1;2013;1
21;2013-01-21;2;21;1;2013;1
22;2013-01-22;3;22;1;2013;1
23;2013-01-23;4;23;1;2013;1
24;2013-01-24;5;24;1;2013;1
25;2013-01-25;6;25;1;2013;1
26;2013-01-26;7;26;1;2013;1
27;2013-01-27;1;27;1;2013;1
28;2013-01-28;2;28;1;2013;1
29;2013-01-29;3;29;1;2013;1
30;2013-01-30;4;30;1;2013;1
31;2013-01-31;5;31;1;2013;1
32;2013-02-01;6;1;2;2013;1
33;2013-02-02;7;2;2;2013;1
34;2013-02-03;1;3;2;2013;1
35;2013-02-04;2;4;2;2013;1
36;2013-02-05;3;5;2;2013;1
37;2013-02-06;4;6;2;2013;1
38;2013-02-07;5;7;2;2013;1
39;2013-02-08;6;8;2;2013;1
40;2013-02-09;7;9;2;2013;1
41;2013-02-10;1;10;2;2013;1
42;2013-02-11;2;11;2;2013;1
43;2013-02-12;3;12;2;2013;1
44;2013-02-13;4;13;2;2013;1
45;2013-02-14;5;14;2;2013;1
46;2013-02-15;6;15;2;2013;1
47;2013-02-16;7;16;2;2013;1
48;2013-02-17;1;17;2;2013;1
49;2013-02-18;2;18;2;2013;1
50;2013-02-19;3;19;2;2013;1
51;2013-02-20;4;20;2;2013;1
52;2013-02-21;5;21;2;2013;1
53;2013-02-22;6;22;2;2013;1
54;2013-02-23;7;23;2;2013;1
55;2013-02-24;1;24;2;2013;1
56;2013-02-25;2;25;2;2013;1
57;2013-02-26;3;26;2;2013;1
58;2013-02-27;4;27;2;2013;1
59;2013-02-28;5;28;2;2013;1
60;2013-03-01;6;1;3;2013;1
61;2013-03-02;7;2;3;2013;1
62;2013-03-03;1;3;3;2013;1
63;2013-03-04;2;4;3;2013;1
64;2013-03-05;3;5;3;2013;1
65;2013-03-06;4;6;3;2013;1
66;2013-03-07;5;7;3;2013;1
67;2013-03-08;6;8;3;2013;1
68;2013-03-09;7;9;3;2013;1
69;2013-03-10;1;10;3;2013;1
70;2013-03-11;2;11;3;2013;1
71;2013-03-12;3;12;3;2013;1
72;2013-03-13;4;13;3;2013;1
73;2013-03-14;5;14;3;2013;1
74;2013-03-15;6;15;3;2013;1
75;2013-03-16;7;16;3;2013;1
76;2013-03-17;1;17;3;2013;1
77;2013-03-18;2;18;3;2013;1
78;2013-03-19;3;19;3;2013;1
79;2013-03-20;4;20;3;2013;1
80;2013-03-21;5;21;3;2013;1
81;2013-03-22;6;22;3;2013;1
82;2013-03-23;7;23;3;2013;1
83;2013-03-24;1;24;3;2013;1
84;2013-03-25;2;25;3;2013;1
85;2013-03-26;3;26;3;2013;1
86;2013-03-27;4;27;3;2013;1
87;2013-03-28;5;28;3;2013;1
88;2013-03-29;6;29;3;2013;1
89;2013-03-30;7;30;3;2013;1
90;2013-03-31;1;31;3;2013;1
91;2013-04-01;2;1;4;2013;2
92;2013-04-02;3;2;4;2013;2
93;2013-04-03;4;3;4;2013;2
94;2013-04-04;5;4;4;2013;2
95;2013-04-05;6;5;4;2013;2
96;2013-04-06;7;6;4;2013;2
97;2013-04-07;1;7;4;2013;2
98;2013-04-08;2;8;4;2013;2
99;2013-04-09;3;9;4;2013;2
100;2013-04-10;4;10;4;2013;2
101;2013-04-11;5;11;4;2013;2
102;2013-04-12;6;12;4;2013;2
103;2013-04-13;7;13;4;2013;2
104;2013-04-14;1;14;4;2013;2
105;2013-04-15;2;15;4;2013;2
106;2013-04-16;3;16;4;2013;2
107;2013-04-17;4;17;4;2013;2
108;2013-04-18;5;18;4;2013;2
109;2013-04-19;6;19;4;2013;2
110;2013-04-20;7;20;4;2013;2
111;2013-04-21;1;21;4;2013;2
112;2013-04-22;2;22;4;2013;2
113;2013-04-23;3;23;4;2013;2
114;2013-04-24;4;24;4;2013;2
115;2013-04-25;5;25;4;2013;2
116;2013-04-26;6;26;4;2013;2
117;2013-04-27;7;27;4;2013;2
118;2013-04-28;1;28;4;2013;2
119;2013-04-29;2;29;4;2013;2
120;2013-04-30;3;30;4;2013;2
121;2013-05-01;4;1;5;2013;2
122;2013-05-02;5;2;5;2013;2
123;2013-05-03;6;3;5;2013;2
124;2013-05-04;7;4;5;2013;2
125;2013-05-05;1;5;5;2013;2
126;2013-05-06;2;6;5;2013;2
127;2013-05-07;3;7;5;2013;2
128;2013-05-08;4;8;5;2013;2
129;2013-05-09;5;9;5;2013;2
130;2013-05-10;6;10;5;2013;2
131;2013-05-11;7;11;5;2013;2
132;2013-05-12;1;12;5;2013;2
133;2013-05-13;2;13;5;2013;2
134;2013-05-14;3;14;5;2013;2
135;2013-05-15;4;15;5;2013;2
136;2013-05-16;5;16;5;2013;2
137;2013-05-17;6;17;5;2013;2
138;2013-05-18;7;18;5;2013;2
139;2013-05-19;1;19;5;2013;2
140;2013-05-20;2;20;5;2013;2
141;2013-05-21;3;21;5;2013;2
142;2013-05-22;4;22;5;2013;2
143;2013-05-23;5;23;5;2013;2
144;2013-05-24;6;24;5;2013;2
145;2013-05-25;7;25;5;2013;2
146;2013-05-26;1;26;5;2013;2
147;2013-05-27;2;27;5;2013;2
148;2013-05-28;3;28;5;2013;2
149;2013-05-29;4;29;5;2013;2
150;2013-05-30;5;30;5;2013;2
151;2013-05-31;6;31;5;2013;2
152;2013-06-01;7;1;6;2013;2
153;2013-06-02;1;2;6;2013;2
154;2013-06-03;2;3;6;2013;2
155;2013-06-04;3;4;6;2013;2
156;2013-06-05;4;5;6;2013;2
157;2013-06-06;5;6;6;2013;2
158;2013-06-07;6;7;6;2013;2
159;2013-06-08;7;8;6;2013;2
160;2013-06-09;1;9;6;2013;2
161;2013-06-10;2;10;6;2013;2
162;2013-06-11;3;11;6;2013;2
163;2013-06-12;4;12;6;2013;2
164;2013-06-13;5;13;6;2013;2
165;2013-06-14;6;14;6;2013;2
166;2013-06-15;7;15;6;2013;2
167;2013-06-16;1;16;6;2013;2
168;2013-06-17;2;17;6;2013;2
169;2013-06-18;3;18;6;2013;2
170;2013-06-19;4;19;6;2013;2
171;2013-06-20;5;20;6;2013;2
172;2013-06-21;6;21;6;2013;2
173;2013-06-22;7;22;6;2013;2
174;2013-06-23;1;23;6;2013;2
175;2013-06-24;2;24;6;2013;2
176;2013-06-25;3;25;6;2013;2
177;2013-06-26;4;26;6;2013;2
178;2013-06-27;5;27;6;2013;2
179;2013-06-28;6;28;6;2013;2
180;2013-06-29;7;29;6;2013;2
181;2013-06-30;1;30;6;2013;2
182;2013-07-01;2;1;7;2013;3
183;2013-07-02;3;2;7;2013;3
184;2013-07-03;4;3;7;2013;3
185;2013-07-04;5;4;7;2013;3
186;2013-07-05;6;5;7;2013;3
187;2013-07-06;7;6;7;2013;3
188;2013-07-07;1;7;7;2013;3
189;2013-07-08;2;8;7;2013;3
190;2013-07-09;3;9;7;2013;3
191;2013-07-10;4;10;7;2013;3
192;2013-07-11;5;11;7;2013;3
193;2013-07-12;6;12;7;2013;3
194;2013-07-13;7;13;7;2013;3
195;2013-07-14;1;14;7;2013;3
196;2013-07-15;2;15;7;2013;3
197;2013-07-16;3;16;7;2013;3
198;2013-07-17;4;17;7;2013;3
199;2013-07-18;5;18;7;2013;3
200;2013-07-19;6;19;7;2013;3
201;2013-07-20;7;20;7;2013;3
202;2013-07-21;1;21;7;2013;3
203;2013-07-22;2;22;7;2013;3
204;2013-07-23;3;23;7;2013;3
205;2013-07-24;4;24;7;2013;3
206;2013-07-25;5;25;7;2013;3
207;2013-07-26;6;26;7;2013;3
208;2013-07-27;7;27;7;2013;3
209;2013-07-28;1;28;7;2013;3
210;2013-07-29;2;29;7;2013;3
211;2013-07-30;3;30;7;2013;3
212;2013-07-31;4;31;7;2013;3
213;2013-08-01;5;1;8;2013;3
214;2013-08-02;6;2;8;2013;3
215;2013-08-03;7;3;8;2013;3
216;2013-08-04;1;4;8;2013;3
217;2013-08-05;2;5;8;2013;3
218;2013-08-06;3;6;8;2013;3
219;2013-08-07;4;7;8;2013;3
220;2013-08-08;5;8;8;2013;3
221;2013-08-09;6;9;8;2013;3
222;2013-08-10;7;10;8;2013;3
223;2013-08-11;1;11;8;2013;3
224;2013-08-12;2;12;8;2013;3
225;2013-08-13;3;13;8;2013;3
226;2013-08-14;4;14;8;2013;3
227;2013-08-15;5;15;8;2013;3
228;2013-08-16;6;16;8;2013;3
229;2013-08-17;7;17;8;2013;3
230;2013-08-18;1;18;8;2013;3
231;2013-08-19;2;19;8;2013;3
232;2013-08-20;3;20;8;2013;3
233;2013-08-21;4;21;8;2013;3
234;2013-08-22;5;22;8;2013;3
235;2013-08-23;6;23;8;2013;3
236;2013-08-24;7;24;8;2013;3
237;2013-08-25;1;25;8;2013;3
238;2013-08-26;2;26;8;2013;3
239;2013-08-27;3;27;8;2013;3
240;2013-08-28;4;28;8;2013;3
241;2013-08-29;5;29;8;2013;3
242;2013-08-30;6;30;8;2013;3
243;2013-08-31;7;31;8;2013;3
244;2013-09-01;1;1;9;2013;3
245;2013-09-02;2;2;9;2013;3
246;2013-09-03;3;3;9;2013;3
247;2013-09-04;4;4;9;2013;3
248;2013-09-05;5;5;9;2013;3
249;2013-09-06;6;6;9;2013;3
250;2013-09-07;7;7;9;2013;3
251;2013-09-08;1;8;9;2013;3
252;2013-09-09;2;9;9;2013;3
253;2013-09-10;3;10;9;2013;3
254;2013-09-11;4;11;9;2013;3
255;2013-09-12;5;12;9;2013;3
256;2013-09-13;6;13;9;2013;3
257;2013-09-14;7;14;9;2013;3
258;2013-09-15;1;15;9;2013;3
259;2013-09-16;2;16;9;2013;3
260;2013-09-17;3;17;9;2013;3
261;2013-09-18;4;18;9;2013;3
262;2013-09-19;5;19;9;2013;3
263;2013-09-20;6;20;9;2013;3
264;2013-09-21;7;21;9;2013;3
265;2013-09-22;1;22;9;2013;3
266;2013-09-23;2;23;9;2013;3
267;2013-09-24;3;24;9;2013;3
268;2013-09-25;4;25;9;2013;3
269;2013-09-26;5;26;9;2013;3
270;2013-09-27;6;27;9;2013;3
271;2013-09-28;7;28;9;2013;3
272;2013-09-29;1;29;9;2013;3
273;2013-09-30;2;30;9;2013;3
274;2013-10-01;3;1;10;2013;4
275;2013-10-02;4;2;10;2013;4
276;2013-10-03;5;3;10;2013;4
277;2013-10-04;6;4;10;2013;4
278;2013-10-05;7;5;10;2013;4
279;2013-10-06;1;6;10;2013;4
280;2013-10-07;2;7;10;2013;4
281;2013-10-08;3;8;10;2013;4
282;2013-10-09;4;9;10;2013;4
283;2013-10-10;5;10;10;2013;4
284;2013-10-11;6;11;10;2013;4
285;2013-10-12;7;12;10;2013;4
286;2013-10-13;1;13;10;2013;4
287;2013-10-14;2;14;10;2013;4
288;2013-10-15;3;15;10;2013;4
289;2013-10-16;4;16;10;2013;4
290;2013-10-17;5;17;10;2013;4
291;2013-10-18;6;18;10;2013;4
292;2013-10-19;7;19;10;2013;4
293;2013-10-20;1;20;10;2013;4
294;2013-10-21;2;21;10;2013;4
295;2013-10-22;3;22;10;2013;4
296;2013-10-23;4;23;10;2013;4
297;2013-10-24;5;24;10;2013;4
298;2013-10-25;6;25;10;2013;4
299;2013-10-26;7;26;10;2013;4
300;2013-10-27;1;27;10;2013;4
301;2013-10-28;2;28;10;2013;4
302;2013-10-29;3;29;10;2013;4
303;2013-10-30;4;30;10;2013;4
304;2013-10-31;5;31;10;2013;4
305;2013-11-01;6;1;11;2013;4
306;2013-11-02;7;2;11;2013;4
307;2013-11-03;1;3;11;2013;4
308;2013-11-04;2;4;11;2013;4
309;2013-11-05;3;5;11;2013;4
310;2013-11-06;4;6;11;2013;4
311;2013-11-07;5;7;11;2013;4
312;2013-11-08;6;8;11;2013;4
313;2013-11-09;7;9;11;2013;4
314;2013-11-10;1;10;11;2013;4
315;2013-11-11;2;11;11;2013;4
316;2013-11-12;3;12;11;2013;4
317;2013-11-13;4;13;11;2013;4
318;2013-11-14;5;14;11;2013;4
319;2013-11-15;6;15;11;2013;4
320;2013-11-16;7;16;11;2013;4
321;2013-11-17;1;17;11;2013;4
322;2013-11-18;2;18;11;2013;4
323;2013-11-19;3;19;11;2013;4
